0, 0
0.375, 0.1
0.875, 0.2
1.25, 0.3
1.625, 0.4
2.125, 0.5
2.625, 0.6
3, 0.7
3.5, 0.8
4, 0.9
4.563, 1
5.125, 1.1
5.875, 1.2
7.063, 1.3
8.938, 1.4
12.375, 1.5
23.625, 1.6
63, 1.7
